crop_id,CROPSTART,CROPEND,CROPNAME,CROPFIL,CROPTYPE
1,1979-01-01,1979-12-31,gras_maaien,gras_maaien,3
1,1980-01-01,1980-12-31,gras_maaien,gras_maaien,3
1,1981-01-01,1981-12-31,gras_maaien,gras_maaien,3
1,1982-01-01,1982-12-31,gras_maaien,gras_maaien,3
1,1983-01-01,1983-12-31,gras_maaien,gras_maaien,3
1,1984-01-01,1984-12-31,gras_maaien,gras_maaien,3
1,1985-01-01,1985-12-31,gras_maaien,gras_maaien,3
1,1986-01-01,1986-12-31,gras_maaien,gras_maaien,3
1,1987-01-01,1987-12-31,gras_maaien,gras_maaien,3
1,1988-01-01,1988-12-31,gras_maaien,gras_maaien,3
1,1989-01-01,1989-12-31,gras_maaien,gras_maaien,3
1,1990-01-01,1990-12-31,gras_maaien,gras_maaien,3
1,1991-01-01,1991-12-31,gras_maaien,gras_maaien,3
1,1992-01-01,1992-12-31,gras_maaien,gras_maaien,3
1,1993-01-01,1993-12-31,gras_maaien,gras_maaien,3
1,1994-01-01,1994-12-31,gras_maaien,gras_maaien,3
1,1995-01-01,1995-12-31,gras_maaien,gras_maaien,3
1,1996-01-01,1996-12-31,gras_maaien,gras_maaien,3
1,1997-01-01,1997-12-31,gras_maaien,gras_maaien,3
1,1998-01-01,1998-12-31,gras_maaien,gras_maaien,3
1,1999-01-01,1999-12-31,gras_maaien,gras_maaien,3
1,2000-01-01,2000-12-31,gras_maaien,gras_maaien,3
1,2001-01-01,2001-12-31,gras_maaien,gras_maaien,3
1,2002-01-01,2002-12-31,gras_maaien,gras_maaien,3
1,2003-01-01,2003-12-31,gras_maaien,gras_maaien,3
1,2004-01-01,2004-12-31,gras_maaien,gras_maaien,3
1,2005-01-01,2005-12-31,gras_maaien,gras_maaien,3
1,2006-01-01,2006-12-31,gras_maaien,gras_maaien,3
1,2007-01-01,2007-12-31,gras_maaien,gras_maaien,3
1,2008-01-01,2008-12-31,gras_maaien,gras_maaien,3
1,2009-01-01,2009-12-31,gras_maaien,gras_maaien,3
1,2010-01-01,2010-12-31,gras_maaien,gras_maaien,3
1,2011-01-01,2011-12-31,gras_maaien,gras_maaien,3
1,2012-01-01,2012-12-31,gras_maaien,gras_maaien,3
1,2013-01-01,2013-12-31,gras_maaien,gras_maaien,3
1,2014-01-01,2014-12-31,gras_maaien,gras_maaien,3
1,2015-01-01,2015-12-31,gras_maaien,gras_maaien,3
1,2016-01-01,2016-12-31,gras_maaien,gras_maaien,3
